,item_category_name,date,item_category_id,item_name,item_id,date_block_num,shop_id,item_price,item_cnt_day
45,Игровые консоли - PS4,03.01.2014,16,16,16,16,16,16,16
46,Игровые консоли - PS4,03.01.2015,28,28,28,28,28,28,28
47,Игровые консоли - PS4,03.02.2014,3,3,3,3,3,3,3
48,Игровые консоли - PS4,03.02.2015,2,2,2,2,2,2,2
49,Игровые консоли - PS4,03.03.2014,12,12,12,12,12,12,12
50,Игровые консоли - PS4,03.03.2015,4,4,4,4,4,4,4
51,Игровые консоли - PS4,03.04.2014,8,8,8,8,8,8,8
52,Игровые консоли - PS4,03.04.2015,3,3,3,3,3,3,3
53,Игровые консоли - PS4,03.05.2014,13,13,13,13,13,13,13
54,Игровые консоли - PS4,03.05.2015,5,5,5,5,5,5,5
55,Игровые консоли - PS4,03.06.2014,3,3,3,3,3,3,3
56,Игровые консоли - PS4,03.06.2015,2,2,2,2,2,2,2
57,Игровые консоли - PS4,03.07.2014,5,5,5,5,5,5,5
58,Игровые консоли - PS4,03.07.2015,5,5,5,5,5,5,5
59,Игровые консоли - PS4,03.08.2014,17,17,17,17,17,17,17
60,Игровые консоли - PS4,03.08.2015,3,3,3,3,3,3,3
61,Игровые консоли - PS4,03.09.2014,6,6,6,6,6,6,6
62,Игровые консоли - PS4,03.09.2015,1,1,1,1,1,1,1
63,Игровые консоли - PS4,03.10.2014,26,26,26,26,26,26,26
64,Игровые консоли - PS4,03.10.2015,11,11,11,11,11,11,11
65,Игровые консоли - PS4,03.11.2014,15,15,15,15,15,15,15
66,Игровые консоли - PS4,03.12.2013,19,19,19,19,19,19,19
67,Игровые консоли - PS4,03.12.2014,28,28,28,28,28,28,28
68,Игровые консоли - PS4,04.01.2014,10,10,10,10,10,10,10
69,Игровые консоли - PS4,04.01.2015,19,19,19,19,19,19,19
70,Игровые консоли - PS4,04.02.2014,1,1,1,1,1,1,1
71,Игровые консоли - PS4,04.02.2015,4,4,4,4,4,4,4
72,Игровые консоли - PS4,04.03.2014,12,12,12,12,12,12,12
73,Игровые консоли - PS4,04.03.2015,3,3,3,3,3,3,3
74,Игровые консоли - PS4,04.04.2014,12,12,12,12,12,12,12
75,Игровые консоли - PS4,04.04.2015,2,2,2,2,2,2,2
76,Игровые консоли - PS4,04.05.2014,6,6,6,6,6,6,6
77,Игровые консоли - PS4,04.06.2014,7,7,7,7,7,7,7
78,Игровые консоли - PS4,04.06.2015,16,16,16,16,16,16,16
79,Игровые консоли - PS4,04.07.2014,13,13,13,13,13,13,13
80,Игровые консоли - PS4,04.07.2015,5,5,5,5,5,5,5
81,Игровые консоли - PS4,04.08.2014,20,20,20,20,20,20,20
82,Игровые консоли - PS4,04.09.2014,11,11,11,11,11,11,11
83,Игровые консоли - PS4,04.09.2015,3,3,3,3,3,3,3
84,Игровые консоли - PS4,04.10.2014,22,22,22,22,22,22,22
85,Игровые консоли - PS4,04.10.2015,4,4,4,4,4,4,4
86,Игровые консоли - PS4,04.11.2014,13,13,13,13,13,13,13
87,Игровые консоли - PS4,04.12.2013,18,18,18,18,18,18,18
88,Игровые консоли - PS4,04.12.2014,22,22,22,22,22,22,22
89,Игровые консоли - PS4,05.01.2014,15,15,15,15,15,15,15
90,Игровые консоли - PS4,05.01.2015,11,11,11,11,11,11,11
91,Игровые консоли - PS4,05.02.2014,15,15,15,15,15,15,15
92,Игровые консоли - PS4,05.02.2015,4,4,4,4,4,4,4
93,Игровые консоли - PS4,05.03.2014,14,14,14,14,14,14,14
94,Игровые консоли - PS4,05.03.2015,4,4,4,4,4,4,4
95,Игровые консоли - PS4,05.04.2014,13,13,13,13,13,13,13
96,Игровые консоли - PS4,05.04.2015,1,1,1,1,1,1,1
97,Игровые консоли - PS4,05.05.2014,5,5,5,5,5,5,5
98,Игровые консоли - PS4,05.05.2015,2,2,2,2,2,2,2
99,Игровые консоли - PS4,05.06.2014,10,10,10,10,10,10,10
100,Игровые консоли - PS4,05.06.2015,6,6,6,6,6,6,6
101,Игровые консоли - PS4,05.07.2014,11,11,11,11,11,11,11
102,Игровые консоли - PS4,05.07.2015,6,6,6,6,6,6,6
103,Игровые консоли - PS4,05.08.2014,19,19,19,19,19,19,19
104,Игровые консоли - PS4,05.08.2015,3,3,3,3,3,3,3
105,Игровые консоли - PS4,05.09.2014,7,7,7,7,7,7,7
106,Игровые консоли - PS4,05.09.2015,8,8,8,8,8,8,8
107,Игровые консоли - PS4,05.10.2014,22,22,22,22,22,22,22
108,Игровые консоли - PS4,05.10.2015,6,6,6,6,6,6,6
109,Игровые консоли - PS4,05.11.2014,11,11,11,11,11,11,11
110,Игровые консоли - PS4,05.12.2013,22,22,22,22,22,22,22
111,Игровые консоли - PS4,05.12.2014,26,26,26,26,26,26,26
112,Игровые консоли - PS4,06.01.2014,11,11,11,11,11,11,11
113,Игровые консоли - PS4,06.01.2015,20,20,20,20,20,20,20
114,Игровые консоли - PS4,06.02.2014,17,17,17,17,17,17,17
115,Игровые консоли - PS4,06.02.2015,5,5,5,5,5,5,5
116,Игровые консоли - PS4,06.03.2014,8,8,8,8,8,8,8
117,Игровые консоли - PS4,06.03.2015,7,7,7,7,7,7,7
118,Игровые консоли - PS4,06.04.2014,6,6,6,6,6,6,6
119,Игровые консоли - PS4,06.04.2015,5,5,5,5,5,5,5
120,Игровые консоли - PS4,06.05.2014,16,16,16,16,16,16,16
121,Игровые консоли - PS4,06.05.2015,2,2,2,2,2,2,2
122,Игровые консоли - PS4,06.06.2014,8,8,8,8,8,8,8
123,Игровые консоли - PS4,06.06.2015,9,9,9,9,9,9,9
124,Игровые консоли - PS4,06.07.2014,10,10,10,10,10,10,10
125,Игровые консоли - PS4,06.07.2015,4,4,4,4,4,4,4
126,Игровые консоли - PS4,06.08.2014,17,17,17,17,17,17,17
127,Игровые консоли - PS4,06.08.2015,4,4,4,4,4,4,4
128,Игровые консоли - PS4,06.09.2014,19,19,19,19,19,19,19
129,Игровые консоли - PS4,06.09.2015,6,6,6,6,6,6,6
130,Игровые консоли - PS4,06.10.2014,10,10,10,10,10,10,10
131,Игровые консоли - PS4,06.11.2014,18,18,18,18,18,18,18
132,Игровые консоли - PS4,06.12.2013,31,31,31,31,31,31,31
133,Игровые консоли - PS4,06.12.2014,43,43,43,43,43,43,43
134,Игровые консоли - PS4,07.01.2014,10,10,10,10,10,10,10
135,Игровые консоли - PS4,07.01.2015,8,8,8,8,8,8,8
136,Игровые консоли - PS4,07.02.2014,20,20,20,20,20,20,20
137,Игровые консоли - PS4,07.02.2015,5,5,5,5,5,5,5
138,Игровые консоли - PS4,07.03.2014,7,7,7,7,7,7,7
139,Игровые консоли - PS4,07.03.2015,10,10,10,10,10,10,10
140,Игровые консоли - PS4,07.04.2014,12,12,12,12,12,12,12
141,Игровые консоли - PS4,07.04.2015,1,1,1,1,1,1,1
142,Игровые консоли - PS4,07.05.2014,12,12,12,12,12,12,12
143,Игровые консоли - PS4,07.05.2015,1,1,1,1,1,1,1
144,Игровые консоли - PS4,07.06.2014,15,15,15,15,15,15,15
145,Игровые консоли - PS4,07.06.2015,8,8,8,8,8,8,8
146,Игровые консоли - PS4,07.07.2014,10,10,10,10,10,10,10
147,Игровые консоли - PS4,07.07.2015,4,4,4,4,4,4,4
148,Игровые консоли - PS4,07.08.2014,17,17,17,17,17,17,17
149,Игровые консоли - PS4,07.08.2015,3,3,3,3,3,3,3
150,Игровые консоли - PS4,07.09.2014,14,14,14,14,14,14,14
151,Игровые консоли - PS4,07.09.2015,3,3,3,3,3,3,3
152,Игровые консоли - PS4,07.10.2014,9,9,9,9,9,9,9
153,Игровые консоли - PS4,07.10.2015,4,4,4,4,4,4,4
154,Игровые консоли - PS4,07.11.2014,19,19,19,19,19,19,19
155,Игровые консоли - PS4,07.12.2013,14,14,14,14,14,14,14
156,Игровые консоли - PS4,07.12.2014,30,30,30,30,30,30,30
157,Игровые консоли - PS4,08.01.2014,9,9,9,9,9,9,9
158,Игровые консоли - PS4,08.01.2015,10,10,10,10,10,10,10
159,Игровые консоли - PS4,08.02.2014,29,29,29,29,29,29,29
160,Игровые консоли - PS4,08.02.2015,6,6,6,6,6,6,6
161,Игровые консоли - PS4,08.03.2014,7,7,7,7,7,7,7
162,Игровые консоли - PS4,08.03.2015,8,8,8,8,8,8,8
163,Игровые консоли - PS4,08.04.2014,11,11,11,11,11,11,11
164,Игровые консоли - PS4,08.04.2015,4,4,4,4,4,4,4
165,Игровые консоли - PS4,08.05.2014,10,10,10,10,10,10,10
166,Игровые консоли - PS4,08.05.2015,3,3,3,3,3,3,3
167,Игровые консоли - PS4,08.06.2014,6,6,6,6,6,6,6
168,Игровые консоли - PS4,08.06.2015,5,5,5,5,5,5,5
169,Игровые консоли - PS4,08.07.2014,7,7,7,7,7,7,7
170,Игровые консоли - PS4,08.07.2015,4,4,4,4,4,4,4
171,Игровые консоли - PS4,08.08.2014,22,22,22,22,22,22,22
172,Игровые консоли - PS4,08.08.2015,2,2,2,2,2,2,2
173,Игровые консоли - PS4,08.09.2014,14,14,14,14,14,14,14
174,Игровые консоли - PS4,08.09.2015,2,2,2,2,2,2,2
175,Игровые консоли - PS4,08.10.2014,13,13,13,13,13,13,13
176,Игровые консоли - PS4,08.10.2015,5,5,5,5,5,5,5
177,Игровые консоли - PS4,08.11.2014,28,28,28,28,28,28,28
178,Игровые консоли - PS4,08.12.2013,6,6,6,6,6,6,6
179,Игровые консоли - PS4,08.12.2014,22,22,22,22,22,22,22
180,Игровые консоли - PS4,09.01.2014,6,6,6,6,6,6,6
181,Игровые консоли - PS4,09.01.2015,14,14,14,14,14,14,14
182,Игровые консоли - PS4,09.02.2014,22,22,22,22,22,22,22
183,Игровые консоли - PS4,09.02.2015,7,7,7,7,7,7,7
184,Игровые консоли - PS4,09.03.2014,7,7,7,7,7,7,7
185,Игровые консоли - PS4,09.03.2015,5,5,5,5,5,5,5
186,Игровые консоли - PS4,09.04.2014,11,11,11,11,11,11,11
187,Игровые консоли - PS4,09.04.2015,1,1,1,1,1,1,1
188,Игровые консоли - PS4,09.05.2014,7,7,7,7,7,7,7
189,Игровые консоли - PS4,09.05.2015,8,8,8,8,8,8,8
190,Игровые консоли - PS4,09.06.2014,6,6,6,6,6,6,6
191,Игровые консоли - PS4,09.06.2015,9,9,9,9,9,9,9
192,Игровые консоли - PS4,09.07.2014,14,14,14,14,14,14,14
193,Игровые консоли - PS4,09.07.2015,2,2,2,2,2,2,2
194,Игровые консоли - PS4,09.08.2014,26,26,26,26,26,26,26
195,Игровые консоли - PS4,09.08.2015,1,1,1,1,1,1,1
196,Игровые консоли - PS4,09.09.2014,13,13,13,13,13,13,13
197,Игровые консоли - PS4,09.09.2015,3,3,3,3,3,3,3
198,Игровые консоли - PS4,09.10.2014,12,12,12,12,12,12,12
199,Игровые консоли - PS4,09.10.2015,5,5,5,5,5,5,5
200,Игровые консоли - PS4,09.11.2014,19,19,19,19,19,19,19
201,Игровые консоли - PS4,09.12.2013,8,8,8,8,8,8,8
202,Игровые консоли - PS4,09.12.2014,22,22,22,22,22,22,22
203,Игровые консоли - PS4,10.01.2014,5,5,5,5,5,5,5
204,Игровые консоли - PS4,10.01.2015,9,9,9,9,9,9,9
205,Игровые консоли - PS4,10.02.2014,24,24,24,24,24,24,24
206,Игровые консоли - PS4,10.02.2015,5,5,5,5,5,5,5
207,Игровые консоли - PS4,10.03.2014,1,1,1,1,1,1,1
208,Игровые консоли - PS4,10.03.2015,4,4,4,4,4,4,4
209,Игровые консоли - PS4,10.04.2014,9,9,9,9,9,9,9
210,Игровые консоли - PS4,10.04.2015,1,1,1,1,1,1,1
211,Игровые консоли - PS4,10.05.2014,8,8,8,8,8,8,8
212,Игровые консоли - PS4,10.05.2015,3,3,3,3,3,3,3
213,Игровые консоли - PS4,10.06.2014,11,11,11,11,11,11,11
214,Игровые консоли - PS4,10.06.2015,3,3,3,3,3,3,3
215,Игровые консоли - PS4,10.07.2014,14,14,14,14,14,14,14
216,Игровые консоли - PS4,10.07.2015,2,2,2,2,2,2,2
217,Игровые консоли - PS4,10.08.2014,17,17,17,17,17,17,17
218,Игровые консоли - PS4,10.08.2015,3,3,3,3,3,3,3
219,Игровые консоли - PS4,10.09.2014,16,16,16,16,16,16,16
220,Игровые консоли - PS4,10.10.2014,22,22,22,22,22,22,22
221,Игровые консоли - PS4,10.10.2015,10,10,10,10,10,10,10
222,Игровые консоли - PS4,10.11.2014,15,15,15,15,15,15,15
223,Игровые консоли - PS4,10.12.2013,4,4,4,4,4,4,4
224,Игровые консоли - PS4,10.12.2014,24,24,24,24,24,24,24
225,Игровые консоли - PS4,11.01.2014,7,7,7,7,7,7,7
226,Игровые консоли - PS4,11.01.2015,13,13,13,13,13,13,13
227,Игровые консоли - PS4,11.02.2014,19,19,19,19,19,19,19
228,Игровые консоли - PS4,11.02.2015,4,4,4,4,4,4,4
229,Игровые консоли - PS4,11.03.2014,1,1,1,1,1,1,1
230,Игровые консоли - PS4,11.03.2015,4,4,4,4,4,4,4
231,Игровые консоли - PS4,11.04.2014,12,12,12,12,12,12,12
232,Игровые консоли - PS4,11.04.2015,5,5,5,5,5,5,5
233,Игровые консоли - PS4,11.05.2014,8,8,8,8,8,8,8
234,Игровые консоли - PS4,11.05.2015,3,3,3,3,3,3,3
235,Игровые консоли - PS4,11.06.2014,14,14,14,14,14,14,14
236,Игровые консоли - PS4,11.06.2015,11,11,11,11,11,11,11
237,Игровые консоли - PS4,11.07.2014,16,16,16,16,16,16,16
238,Игровые консоли - PS4,11.07.2015,4,4,4,4,4,4,4
239,Игровые консоли - PS4,11.08.2014,8,8,8,8,8,8,8
240,Игровые консоли - PS4,11.08.2015,2,2,2,2,2,2,2
241,Игровые консоли - PS4,11.09.2014,21,21,21,21,21,21,21
242,Игровые консоли - PS4,11.09.2015,5,5,5,5,5,5,5
243,Игровые консоли - PS4,11.10.2014,18,18,18,18,18,18,18
244,Игровые консоли - PS4,11.10.2015,5,5,5,5,5,5,5
245,Игровые консоли - PS4,11.11.2014,13,13,13,13,13,13,13
246,Игровые консоли - PS4,11.12.2013,3,3,3,3,3,3,3
247,Игровые консоли - PS4,11.12.2014,23,23,23,23,23,23,23
248,Игровые консоли - PS4,12.01.2014,4,4,4,4,4,4,4
249,Игровые консоли - PS4,12.01.2015,8,8,8,8,8,8,8
250,Игровые консоли - PS4,12.02.2014,13,13,13,13,13,13,13
251,Игровые консоли - PS4,12.02.2015,4,4,4,4,4,4,4
252,Игровые консоли - PS4,12.03.2014,2,2,2,2,2,2,2
253,Игровые консоли - PS4,12.03.2015,4,4,4,4,4,4,4
254,Игровые консоли - PS4,12.04.2014,14,14,14,14,14,14,14
255,Игровые консоли - PS4,12.04.2015,2,2,2,2,2,2,2
256,Игровые консоли - PS4,12.05.2014,6,6,6,6,6,6,6
257,Игровые консоли - PS4,12.05.2015,5,5,5,5,5,5,5
258,Игровые консоли - PS4,12.06.2014,15,15,15,15,15,15,15
259,Игровые консоли - PS4,12.06.2015,8,8,8,8,8,8,8
260,Игровые консоли - PS4,12.07.2014,15,15,15,15,15,15,15
261,Игровые консоли - PS4,12.07.2015,1,1,1,1,1,1,1
262,Игровые консоли - PS4,12.08.2014,16,16,16,16,16,16,16
263,Игровые консоли - PS4,12.09.2014,11,11,11,11,11,11,11
264,Игровые консоли - PS4,12.09.2015,4,4,4,4,4,4,4
265,Игровые консоли - PS4,12.10.2014,14,14,14,14,14,14,14
266,Игровые консоли - PS4,12.10.2015,5,5,5,5,5,5,5
267,Игровые консоли - PS4,12.11.2014,8,8,8,8,8,8,8
268,Игровые консоли - PS4,12.12.2013,5,5,5,5,5,5,5
269,Игровые консоли - PS4,12.12.2014,23,23,23,23,23,23,23
270,Игровые консоли - PS4,13.01.2014,9,9,9,9,9,9,9
271,Игровые консоли - PS4,13.01.2015,9,9,9,9,9,9,9
272,Игровые консоли - PS4,13.02.2014,18,18,18,18,18,18,18
273,Игровые консоли - PS4,13.02.2015,7,7,7,7,7,7,7
274,Игровые консоли - PS4,13.03.2014,1,1,1,1,1,1,1
275,Игровые консоли - PS4,13.03.2015,2,2,2,2,2,2,2
276,Игровые консоли - PS4,13.04.2014,8,8,8,8,8,8,8
277,Игровые консоли - PS4,13.04.2015,2,2,2,2,2,2,2
278,Игровые консоли - PS4,13.05.2014,9,9,9,9,9,9,9
279,Игровые консоли - PS4,13.05.2015,5,5,5,5,5,5,5
280,Игровые консоли - PS4,13.06.2014,10,10,10,10,10,10,10
281,Игровые консоли - PS4,13.06.2015,8,8,8,8,8,8,8
282,Игровые консоли - PS4,13.07.2014,8,8,8,8,8,8,8
283,Игровые консоли - PS4,13.08.2014,20,20,20,20,20,20,20
284,Игровые консоли - PS4,13.08.2015,2,2,2,2,2,2,2
285,Игровые консоли - PS4,13.09.2014,22,22,22,22,22,22,22
286,Игровые консоли - PS4,13.09.2015,5,5,5,5,5,5,5
287,Игровые консоли - PS4,13.10.2014,7,7,7,7,7,7,7
288,Игровые консоли - PS4,13.10.2015,2,2,2,2,2,2,2
289,Игровые консоли - PS4,13.11.2014,27,27,27,27,27,27,27
290,Игровые консоли - PS4,13.12.2013,11,11,11,11,11,11,11
291,Игровые консоли - PS4,13.12.2014,43,43,43,43,43,43,43
292,Игровые консоли - PS4,14.01.2014,2,2,2,2,2,2,2
293,Игровые консоли - PS4,14.01.2015,15,15,15,15,15,15,15
294,Игровые консоли - PS4,14.02.2014,21,21,21,21,21,21,21
295,Игровые консоли - PS4,14.02.2015,10,10,10,10,10,10,10
296,Игровые консоли - PS4,14.03.2014,1,1,1,1,1,1,1
297,Игровые консоли - PS4,14.03.2015,12,12,12,12,12,12,12
298,Игровые консоли - PS4,14.04.2014,6,6,6,6,6,6,6
299,Игровые консоли - PS4,14.04.2015,2,2,2,2,2,2,2
300,Игровые консоли - PS4,14.05.2014,5,5,5,5,5,5,5
301,Игровые консоли - PS4,14.05.2015,5,5,5,5,5,5,5
302,Игровые консоли - PS4,14.06.2014,9,9,9,9,9,9,9
303,Игровые консоли - PS4,14.06.2015,4,4,4,4,4,4,4
304,Игровые консоли - PS4,14.07.2014,13,13,13,13,13,13,13
305,Игровые консоли - PS4,14.07.2015,2,2,2,2,2,2,2
306,Игровые консоли - PS4,14.08.2014,20,20,20,20,20,20,20
307,Игровые консоли - PS4,14.08.2015,3,3,3,3,3,3,3
308,Игровые консоли - PS4,14.09.2014,13,13,13,13,13,13,13
309,Игровые консоли - PS4,14.09.2015,4,4,4,4,4,4,4
310,Игровые консоли - PS4,14.10.2014,11,11,11,11,11,11,11
311,Игровые консоли - PS4,14.10.2015,6,6,6,6,6,6,6
312,Игровые консоли - PS4,14.11.2014,23,23,23,23,23,23,23
313,Игровые консоли - PS4,14.12.2013,15,15,15,15,15,15,15
314,Игровые консоли - PS4,14.12.2014,40,40,40,40,40,40,40
315,Игровые консоли - PS4,15.01.2014,2,2,2,2,2,2,2
316,Игровые консоли - PS4,15.01.2015,9,9,9,9,9,9,9
317,Игровые консоли - PS4,15.02.2014,13,13,13,13,13,13,13
318,Игровые консоли - PS4,15.02.2015,7,7,7,7,7,7,7
319,Игровые консоли - PS4,15.03.2015,5,5,5,5,5,5,5
320,Игровые консоли - PS4,15.04.2014,7,7,7,7,7,7,7
321,Игровые консоли - PS4,15.04.2015,1,1,1,1,1,1,1
322,Игровые консоли - PS4,15.05.2014,7,7,7,7,7,7,7
323,Игровые консоли - PS4,15.05.2015,1,1,1,1,1,1,1
324,Игровые консоли - PS4,15.06.2014,10,10,10,10,10,10,10
325,Игровые консоли - PS4,15.06.2015,4,4,4,4,4,4,4
326,Игровые консоли - PS4,15.07.2014,10,10,10,10,10,10,10
327,Игровые консоли - PS4,15.07.2015,2,2,2,2,2,2,2
328,Игровые консоли - PS4,15.08.2014,26,26,26,26,26,26,26
329,Игровые консоли - PS4,15.08.2015,2,2,2,2,2,2,2
330,Игровые консоли - PS4,15.09.2014,10,10,10,10,10,10,10
331,Игровые консоли - PS4,15.09.2015,15,15,15,15,15,15,15
332,Игровые консоли - PS4,15.10.2014,13,13,13,13,13,13,13
333,Игровые консоли - PS4,15.10.2015,6,6,6,6,6,6,6
334,Игровые консоли - PS4,15.11.2014,38,38,38,38,38,38,38
335,Игровые консоли - PS4,15.12.2013,9,9,9,9,9,9,9
336,Игровые консоли - PS4,15.12.2014,24,24,24,24,24,24,24
337,Игровые консоли - PS4,16.01.2014,6,6,6,6,6,6,6
338,Игровые консоли - PS4,16.01.2015,14,14,14,14,14,14,14
339,Игровые консоли - PS4,16.02.2014,6,6,6,6,6,6,6
340,Игровые консоли - PS4,16.02.2015,4,4,4,4,4,4,4
341,Игровые консоли - PS4,16.03.2014,1,1,1,1,1,1,1
342,Игровые консоли - PS4,16.03.2015,3,3,3,3,3,3,3
343,Игровые консоли - PS4,16.04.2014,6,6,6,6,6,6,6
344,Игровые консоли - PS4,16.04.2015,4,4,4,4,4,4,4
345,Игровые консоли - PS4,16.05.2014,11,11,11,11,11,11,11
346,Игровые консоли - PS4,16.05.2015,3,3,3,3,3,3,3
347,Игровые консоли - PS4,16.06.2014,8,8,8,8,8,8,8
348,Игровые консоли - PS4,16.06.2015,1,1,1,1,1,1,1
349,Игровые консоли - PS4,16.07.2014,9,9,9,9,9,9,9
350,Игровые консоли - PS4,16.07.2015,4,4,4,4,4,4,4
351,Игровые консоли - PS4,16.08.2014,20,20,20,20,20,20,20
352,Игровые консоли - PS4,16.08.2015,3,3,3,3,3,3,3
353,Игровые консоли - PS4,16.09.2014,17,17,17,17,17,17,17
354,Игровые консоли - PS4,16.09.2015,13,13,13,13,13,13,13
355,Игровые консоли - PS4,16.10.2014,11,11,11,11,11,11,11
356,Игровые консоли - PS4,16.10.2015,8,8,8,8,8,8,8
357,Игровые консоли - PS4,16.11.2014,29,29,29,29,29,29,29
358,Игровые консоли - PS4,16.12.2013,16,16,16,16,16,16,16
359,Игровые консоли - PS4,16.12.2014,46,46,46,46,46,46,46
360,Игровые консоли - PS4,17.01.2014,4,4,4,4,4,4,4
361,Игровые консоли - PS4,17.01.2015,14,14,14,14,14,14,14
362,Игровые консоли - PS4,17.02.2014,5,5,5,5,5,5,5
363,Игровые консоли - PS4,17.02.2015,4,4,4,4,4,4,4
364,Игровые консоли - PS4,17.03.2014,1,1,1,1,1,1,1
365,Игровые консоли - PS4,17.03.2015,2,2,2,2,2,2,2
366,Игровые консоли - PS4,17.04.2014,10,10,10,10,10,10,10
367,Игровые консоли - PS4,17.04.2015,6,6,6,6,6,6,6
368,Игровые консоли - PS4,17.05.2014,13,13,13,13,13,13,13
369,Игровые консоли - PS4,17.05.2015,3,3,3,3,3,3,3
370,Игровые консоли - PS4,17.06.2014,14,14,14,14,14,14,14
371,Игровые консоли - PS4,17.06.2015,1,1,1,1,1,1,1
372,Игровые консоли - PS4,17.07.2014,7,7,7,7,7,7,7
373,Игровые консоли - PS4,17.07.2015,4,4,4,4,4,4,4
374,Игровые консоли - PS4,17.08.2014,25,25,25,25,25,25,25
375,Игровые консоли - PS4,17.09.2014,13,13,13,13,13,13,13
376,Игровые консоли - PS4,17.09.2015,6,6,6,6,6,6,6
377,Игровые консоли - PS4,17.10.2014,6,6,6,6,6,6,6
378,Игровые консоли - PS4,17.10.2015,7,7,7,7,7,7,7
379,Игровые консоли - PS4,17.11.2014,21,21,21,21,21,21,21
380,Игровые консоли - PS4,17.12.2013,18,18,18,18,18,18,18
381,Игровые консоли - PS4,17.12.2014,38,38,38,38,38,38,38
382,Игровые консоли - PS4,18.01.2014,6,6,6,6,6,6,6
383,Игровые консоли - PS4,18.01.2015,9,9,9,9,9,9,9
384,Игровые консоли - PS4,18.02.2014,5,5,5,5,5,5,5
385,Игровые консоли - PS4,18.02.2015,4,4,4,4,4,4,4
386,Игровые консоли - PS4,18.03.2014,1,1,1,1,1,1,1
387,Игровые консоли - PS4,18.03.2015,3,3,3,3,3,3,3
388,Игровые консоли - PS4,18.04.2014,9,9,9,9,9,9,9
389,Игровые консоли - PS4,18.04.2015,3,3,3,3,3,3,3
390,Игровые консоли - PS4,18.05.2014,16,16,16,16,16,16,16
391,Игровые консоли - PS4,18.05.2015,7,7,7,7,7,7,7
392,Игровые консоли - PS4,18.06.2014,15,15,15,15,15,15,15
393,Игровые консоли - PS4,18.06.2015,3,3,3,3,3,3,3
394,Игровые консоли - PS4,18.07.2014,9,9,9,9,9,9,9
395,Игровые консоли - PS4,18.07.2015,2,2,2,2,2,2,2
396,Игровые консоли - PS4,18.08.2014,28,28,28,28,28,28,28
